"TIPO_INDICE";"CO_ANO";"CO_MES";"CO_COMMODITIES";"INDICE";"TIPO";"TIPO_MOEDA";"NO_COMMODITIES";"NO_TIPO_CLASSIFICACAO";"NO_CLASSIFICACAO_MIN"
"PRECO";"2025";"6";"COMMODITIES_CO_GRUPO_4";"118,66059414737225";"CORRENTE";"USD";"Combustíveis";"COMMODITIES";"Combustíveis"
"PRECO";"2025";"6";"COMMODITIES_CO_GRUPO_2";"122,45594129560729";"CORRENTE";"USD";"Matérias-Primas Agrícolas";"COMMODITIES";"Matérias-Primas Agrícolas"
"PRECO";"2025";"6";"COMMODITIES_CO_GRUPO_3";"179,35390688501931";"CORRENTE";"USD";"Minerais, Minérios E Metais";"COMMODITIES";"Minerais, Minérios e Metais"
"PRECO";"2025";"6";"COMMODITIES_CO_GRUPO_1";"175,51019696434668";"CORRENTE";"USD";"Todos Alimentos";"COMMODITIES";"Todos Alimentos"
"PRECO";"2025";"6";"COMMODITIES_TOTAL_1";"154,63293613177109";"CORRENTE";"USD";"Total Commodities";"COMMODITIES";"Total Commodities"
"QUANTUM";"2025";"6";"COMMODITIES_CO_GRUPO_4";"229,13014266100848";"CORRENTE";"USD";"Combustíveis";"COMMODITIES";"Combustíveis"
"QUANTUM";"2025";"6";"COMMODITIES_CO_GRUPO_2";"189,51753407386320";"CORRENTE";"USD";"Matérias-Primas Agrícolas";"COMMODITIES";"Matérias-Primas Agrícolas"
"QUANTUM";"2025";"6";"COMMODITIES_CO_GRUPO_3";"164,73368999758037";"CORRENTE";"USD";"Minerais, Minérios E Metais";"COMMODITIES";"Minerais, Minérios e Metais"
"QUANTUM";"2025";"6";"COMMODITIES_CO_GRUPO_1";"251,76771850317999";"CORRENTE";"USD";"Todos Alimentos";"COMMODITIES";"Todos Alimentos"
"QUANTUM";"2025";"6";"COMMODITIES_TOTAL_1";"217,92209953801515";"CORRENTE";"USD";"Total Commodities";"COMMODITIES";"Total Commodities"
"PRECO";"2025";"6";"COMMODITIES_CO_GRUPO_4";"127,48886995577902";"EXP";"USD";"Combustíveis";"COMMODITIES";"Combustíveis"
"PRECO";"2025";"6";"COMMODITIES_CO_GRUPO_2";"124,33612017405125";"EXP";"USD";"Matérias-Primas Agrícolas";"COMMODITIES";"Matérias-Primas Agrícolas"
"PRECO";"2025";"6";"COMMODITIES_CO_GRUPO_3";"176,09661373324727";"EXP";"USD";"Minerais, Minérios E Metais";"COMMODITIES";"Minerais, Minérios e Metais"
"PRECO";"2025";"6";"COMMODITIES_CO_GRUPO_1";"175,69988691779034";"EXP";"USD";"Todos Alimentos";"COMMODITIES";"Todos Alimentos"
"PRECO";"2025";"6";"COMMODITIES_TOTAL_1";"162,12051691697050";"EXP";"USD";"Total Commodities";"COMMODITIES";"Total Commodities"
"QUANTUM";"2025";"6";"COMMODITIES_CO_GRUPO_4";"357,04954092302205";"EXP";"USD";"Combustíveis";"COMMODITIES";"Combustíveis"
"QUANTUM";"2025";"6";"COMMODITIES_CO_GRUPO_2";"199,05747106338094";"EXP";"USD";"Matérias-Primas Agrícolas";"COMMODITIES";"Matérias-Primas Agrícolas"
"QUANTUM";"2025";"6";"COMMODITIES_CO_GRUPO_3";"152,45167490536414";"EXP";"USD";"Minerais, Minérios E Metais";"COMMODITIES";"Minerais, Minérios e Metais"
"QUANTUM";"2025";"6";"COMMODITIES_CO_GRUPO_1";"260,34806143536417";"EXP";"USD";"Todos Alimentos";"COMMODITIES";"Todos Alimentos"
"QUANTUM";"2025";"6";"COMMODITIES_TOTAL_1";"239,13666996517358";"EXP";"USD";"Total Commodities";"COMMODITIES";"Total Commodities"
"PRECO";"2025";"6";"COMMODITIES_CO_GRUPO_4";"120,22159454477917";"IMP";"USD";"Combustíveis";"COMMODITIES";"Combustíveis"
"PRECO";"2025";"6";"COMMODITIES_CO_GRUPO_2";"123,27107029513978";"IMP";"USD";"Matérias-Primas Agrícolas";"COMMODITIES";"Matérias-Primas Agrícolas"
"PRECO";"2025";"6";"COMMODITIES_CO_GRUPO_3";"156,53613229834517";"IMP";"USD";"Minerais, Minérios E Metais";"COMMODITIES";"Minerais, Minérios e Metais"
"PRECO";"2025";"6";"COMMODITIES_CO_GRUPO_1";"190,76933927041298";"IMP";"USD";"Todos Alimentos";"COMMODITIES";"Todos Alimentos"
"PRECO";"2025";"6";"COMMODITIES_TOTAL_1";"140,94617790861591";"IMP";"USD";"Total Commodities";"COMMODITIES";"Total Commodities"
"QUANTUM";"2025";"6";"COMMODITIES_CO_GRUPO_4";"119,63968590243159";"IMP";"USD";"Combustíveis";"COMMODITIES";"Combustíveis"
"QUANTUM";"2025";"6";"COMMODITIES_CO_GRUPO_2";"69,27909207596524";"IMP";"USD";"Matérias-Primas Agrícolas";"COMMODITIES";"Matérias-Primas Agrícolas"
"QUANTUM";"2025";"6";"COMMODITIES_CO_GRUPO_3";"232,95442108604422";"IMP";"USD";"Minerais, Minérios E Metais";"COMMODITIES";"Minerais, Minérios e Metais"
"QUANTUM";"2025";"6";"COMMODITIES_CO_GRUPO_1";"158,72168715290104";"IMP";"USD";"Todos Alimentos";"COMMODITIES";"Todos Alimentos"
"QUANTUM";"2025";"6";"COMMODITIES_TOTAL_1";"152,57975047362194";"IMP";"USD";"Total Commodities";"COMMODITIES";"Total Commodities"
"PRECO";"2025";"5";"COMMODITIES_CO_GRUPO_4";"120,06773028377089";"CORRENTE";"USD";"Combustíveis";"COMMODITIES";"Combustíveis"
"PRECO";"2025";"5";"COMMODITIES_CO_GRUPO_2";"125,48720362269736";"CORRENTE";"USD";"Matérias-Primas Agrícolas";"COMMODITIES";"Matérias-Primas Agrícolas"
"PRECO";"2025";"5";"COMMODITIES_CO_GRUPO_3";"180,93809770173584";"CORRENTE";"USD";"Minerais, Minérios E Metais";"COMMODITIES";"Minerais, Minérios e Metais"
"PRECO";"2025";"5";"COMMODITIES_CO_GRUPO_1";"175,35287717445175";"CORRENTE";"USD";"Todos Alimentos";"COMMODITIES";"Todos Alimentos"
"PRECO";"2025";"5";"COMMODITIES_TOTAL_1";"155,36241991153344";"CORRENTE";"USD";"Total Commodities";"COMMODITIES";"Total Commodities"
"QUANTUM";"2025";"5";"COMMODITIES_CO_GRUPO_4";"251,99107979119600";"CORRENTE";"USD";"Combustíveis";"COMMODITIES";"Combustíveis"
"QUANTUM";"2025";"5";"COMMODITIES_CO_GRUPO_2";"202,29519841790574";"CORRENTE";"USD";"Matérias-Primas Agrícolas";"COMMODITIES";"Matérias-Primas Agrícolas"
"QUANTUM";"2025";"5";"COMMODITIES_CO_GRUPO_3";"165,54425459790068";"CORRENTE";"USD";"Minerais, Minérios E Metais";"COMMODITIES";"Minerais, Minérios e Metais"
"QUANTUM";"2025";"5";"COMMODITIES_CO_GRUPO_1";"254,23882235110455";"CORRENTE";"USD";"Todos Alimentos";"COMMODITIES";"Todos Alimentos"
"QUANTUM";"2025";"5";"COMMODITIES_TOTAL_1";"225,66249466337584";"CORRENTE";"USD";"Total Commodities";"COMMODITIES";"Total Commodities"
"PRECO";"2025";"5";"COMMODITIES_CO_GRUPO_4";"128,91705499823024";"EXP";"USD";"Combustíveis";"COMMODITIES";"Combustíveis"
"PRECO";"2025";"5";"COMMODITIES_CO_GRUPO_2";"127,44315190598053";"EXP";"USD";"Matérias-Primas Agrícolas";"COMMODITIES";"Matérias-Primas Agrícolas"
"PRECO";"2025";"5";"COMMODITIES_CO_GRUPO_3";"181,66512527792156";"EXP";"USD";"Minerais, Minérios E Metais";"COMMODITIES";"Minerais, Minérios e Metais"
"PRECO";"2025";"5";"COMMODITIES_CO_GRUPO_1";"176,96871815540896";"EXP";"USD";"Todos Alimentos";"COMMODITIES";"Todos Alimentos"
"PRECO";"2025";"5";"COMMODITIES_TOTAL_1";"164,17586434764465";"EXP";"USD";"Total Commodities";"COMMODITIES";"Total Commodities"
"QUANTUM";"2025";"5";"COMMODITIES_CO_GRUPO_4";"391,66305500133882";"EXP";"USD";"Combustíveis";"COMMODITIES";"Combustíveis"
"QUANTUM";"2025";"5";"COMMODITIES_CO_GRUPO_2";"212,44784090032257";"EXP";"USD";"Matérias-Primas Agrícolas";"COMMODITIES";"Matérias-Primas Agrícolas"
"QUANTUM";"2025";"5";"COMMODITIES_CO_GRUPO_3";"154,71804921768097";"EXP";"USD";"Minerais, Minérios E Metais";"COMMODITIES";"Minerais, Minérios e Metais"
"QUANTUM";"2025";"5";"COMMODITIES_CO_GRUPO_1";"258,16211096867437";"EXP";"USD";"Todos Alimentos";"COMMODITIES";"Todos Alimentos"
"QUANTUM";"2025";"5";"COMMODITIES_TOTAL_1";"244,81916098761539";"EXP";"USD";"Total Commodities";"COMMODITIES";"Total Commodities"
"PRECO";"2025";"5";"COMMODITIES_CO_GRUPO_4";"118,13988724316845";"IMP";"USD";"Combustíveis";"COMMODITIES";"Combustíveis"
"PRECO";"2025";"5";"COMMODITIES_CO_GRUPO_2";"125,47043900943795";"IMP";"USD";"Matérias-Primas Agrícolas";"COMMODITIES";"Matérias-Primas Agrícolas"
"PRECO";"2025";"5";"COMMODITIES_CO_GRUPO_3";"152,27873018757171";"IMP";"USD";"Minerais, Minérios E Metais";"COMMODITIES";"Minerais, Minérios e Metais"
"PRECO";"2025";"5";"COMMODITIES_CO_GRUPO_1";"188,82548813872538";"IMP";"USD";"Todos Alimentos";"COMMODITIES";"Todos Alimentos"
"PRECO";"2025";"5";"COMMODITIES_TOTAL_1";"137,74660969144651";"IMP";"USD";"Total Commodities";"COMMODITIES";"Total Commodities"
"QUANTUM";"2025";"5";"COMMODITIES_CO_GRUPO_4";"136,44568847655205";"IMP";"USD";"Combustíveis";"COMMODITIES";"Combustíveis"
"QUANTUM";"2025";"5";"COMMODITIES_CO_GRUPO_2";"73,26938810425970";"IMP";"USD";"Matérias-Primas Agrícolas";"COMMODITIES";"Matérias-Primas Agrícolas"
"QUANTUM";"2025";"5";"COMMODITIES_CO_GRUPO_3";"228,47695132884698";"IMP";"USD";"Minerais, Minérios E Metais";"COMMODITIES";"Minerais, Minérios e Metais"
"QUANTUM";"2025";"5";"COMMODITIES_CO_GRUPO_1";"174,58212476537761";"IMP";"USD";"Todos Alimentos";"COMMODITIES";"Todos Alimentos"
"QUANTUM";"2025";"5";"COMMODITIES_TOTAL_1";"163,48777749205101";"IMP";"USD";"Total Commodities";"COMMODITIES";"Total Commodities"
"PRECO";"2025";"4";"COMMODITIES_CO_GRUPO_4";"124,41323521111647";"CORRENTE";"USD";"Combustíveis";"COMMODITIES";"Combustíveis"
"PRECO";"2025";"4";"COMMODITIES_CO_GRUPO_2";"128,73709762168815";"CORRENTE";"USD";"Matérias-Primas Agrícolas";"COMMODITIES";"Matérias-Primas Agrícolas"
"PRECO";"2025";"4";"COMMODITIES_CO_GRUPO_3";"186,25956945584701";"CORRENTE";"USD";"Minerais, Minérios E Metais";"COMMODITIES";"Minerais, Minérios e Metais"
"PRECO";"2025";"4";"COMMODITIES_CO_GRUPO_1";"175,43239653120136";"CORRENTE";"USD";"Todos Alimentos";"COMMODITIES";"Todos Alimentos"
"PRECO";"2025";"4";"COMMODITIES_TOTAL_1";"158,02959899381034";"CORRENTE";"USD";"Total Commodities";"COMMODITIES";"Total Commodities"
"QUANTUM";"2025";"4";"COMMODITIES_CO_GRUPO_4";"255,44087142403401";"CORRENTE";"USD";"Combustíveis";"COMMODITIES";"Combustíveis"
"QUANTUM";"2025";"4";"COMMODITIES_CO_GRUPO_2";"177,20336708077537";"CORRENTE";"USD";"Matérias-Primas Agrícolas";"COMMODITIES";"Matérias-Primas Agrícolas"
"QUANTUM";"2025";"4";"COMMODITIES_CO_GRUPO_3";"154,19463240478186";"CORRENTE";"USD";"Minerais, Minérios E Metais";"COMMODITIES";"Minerais, Minérios e Metais"
"QUANTUM";"2025";"4";"COMMODITIES_CO_GRUPO_1";"260,48223337678252";"CORRENTE";"USD";"Todos Alimentos";"COMMODITIES";"Todos Alimentos"
"QUANTUM";"2025";"4";"COMMODITIES_TOTAL_1";"224,04645336491726";"CORRENTE";"USD";"Total Commodities";"COMMODITIES";"Total Commodities"
"PRECO";"2025";"4";"COMMODITIES_CO_GRUPO_4";"134,48048676618896";"EXP";"USD";"Combustíveis";"COMMODITIES";"Combustíveis"
"PRECO";"2025";"4";"COMMODITIES_CO_GRUPO_2";"131,47953160312605";"EXP";"USD";"Matérias-Primas Agrícolas";"COMMODITIES";"Matérias-Primas Agrícolas"
"PRECO";"2025";"4";"COMMODITIES_CO_GRUPO_3";"188,98763796548818";"EXP";"USD";"Minerais, Minérios E Metais";"COMMODITIES";"Minerais, Minérios e Metais"
"PRECO";"2025";"4";"COMMODITIES_CO_GRUPO_1";"174,96648650273480";"EXP";"USD";"Todos Alimentos";"COMMODITIES";"Todos Alimentos"
"PRECO";"2025";"4";"COMMODITIES_TOTAL_1";"166,23115973961032";"EXP";"USD";"Total Commodities";"COMMODITIES";"Total Commodities"
"QUANTUM";"2025";"4";"COMMODITIES_CO_GRUPO_4";"405,31277582503009";"EXP";"USD";"Combustíveis";"COMMODITIES";"Combustíveis"
"QUANTUM";"2025";"4";"COMMODITIES_CO_GRUPO_2";"182,53964918725910";"EXP";"USD";"Matérias-Primas Agrícolas";"COMMODITIES";"Matérias-Primas Agrícolas"
"QUANTUM";"2025";"4";"COMMODITIES_CO_GRUPO_3";"143,27178624455300";"EXP";"USD";"Minerais, Minérios E Metais";"COMMODITIES";"Minerais, Minérios e Metais"
"QUANTUM";"2025";"4";"COMMODITIES_CO_GRUPO_1";"267,39564611194191";"EXP";"USD";"Todos Alimentos";"COMMODITIES";"Todos Alimentos"
"QUANTUM";"2025";"4";"COMMODITIES_TOTAL_1";"245,57802749980070";"EXP";"USD";"Total Commodities";"COMMODITIES";"Total Commodities"
"PRECO";"2025";"4";"COMMODITIES_CO_GRUPO_4";"122,50170078323370";"IMP";"USD";"Combustíveis";"COMMODITIES";"Combustíveis"
"PRECO";"2025";"4";"COMMODITIES_CO_GRUPO_2";"126,45853575286019";"IMP";"USD";"Matérias-Primas Agrícolas";"COMMODITIES";"Matérias-Primas Agrícolas"
"PRECO";"2025";"4";"COMMODITIES_CO_GRUPO_3";"153,44259055759721";"IMP";"USD";"Minerais, Minérios E Metais";"COMMODITIES";"Minerais, Minérios e Metais"
"PRECO";"2025";"4";"COMMODITIES_CO_GRUPO_1";"193,90224459952435";"IMP";"USD";"Todos Alimentos";"COMMODITIES";"Todos Alimentos"
"PRECO";"2025";"4";"COMMODITIES_TOTAL_1";"141,02809466916298";"IMP";"USD";"Total Commodities";"COMMODITIES";"Total Commodities"
"QUANTUM";"2025";"4";"COMMODITIES_CO_GRUPO_4";"129,86868941598939";"IMP";"USD";"Combustíveis";"COMMODITIES";"Combustíveis"
"QUANTUM";"2025";"4";"COMMODITIES_CO_GRUPO_2";"88,40251174625655";"IMP";"USD";"Matérias-Primas Agrícolas";"COMMODITIES";"Matérias-Primas Agrícolas"
"QUANTUM";"2025";"4";"COMMODITIES_CO_GRUPO_3";"215,51599026234283";"IMP";"USD";"Minerais, Minérios E Metais";"COMMODITIES";"Minerais, Minérios e Metais"
"QUANTUM";"2025";"4";"COMMODITIES_CO_GRUPO_1";"171,68512656489327";"IMP";"USD";"Todos Alimentos";"COMMODITIES";"Todos Alimentos"
"QUANTUM";"2025";"4";"COMMODITIES_TOTAL_1";"156,58480615133789";"IMP";"USD";"Total Commodities";"COMMODITIES";"Total Commodities"
"PRECO";"2025";"3";"COMMODITIES_CO_GRUPO_4";"130,57933801159814";"CORRENTE";"USD";"Combustíveis";"COMMODITIES";"Combustíveis"
"PRECO";"2025";"3";"COMMODITIES_CO_GRUPO_2";"127,98341498941591";"CORRENTE";"USD";"Matérias-Primas Agrícolas";"COMMODITIES";"Matérias-Primas Agrícolas"
"PRECO";"2025";"3";"COMMODITIES_CO_GRUPO_3";"187,29394933684418";"CORRENTE";"USD";"Minerais, Minérios E Metais";"COMMODITIES";"Minerais, Minérios e Metais"
"PRECO";"2025";"3";"COMMODITIES_CO_GRUPO_1";"174,96670511502387";"CORRENTE";"USD";"Todos Alimentos";"COMMODITIES";"Todos Alimentos"
"PRECO";"2025";"3";"COMMODITIES_TOTAL_1";"160,15836686078609";"CORRENTE";"USD";"Total Commodities";"COMMODITIES";"Total Commodities"
"QUANTUM";"2025";"3";"COMMODITIES_CO_GRUPO_4";"191,95087075550791";"CORRENTE";"USD";"Combustíveis";"COMMODITIES";"Combustíveis"
"QUANTUM";"2025";"3";"COMMODITIES_CO_GRUPO_2";"209,36595772781135";"CORRENTE";"USD";"Matérias-Primas Agrícolas";"COMMODITIES";"Matérias-Primas Agrícolas"
